0	2	2775
1	2	461
2	2	3010
3	2	4087
4	2	1038
5	0	1623
5	1	1040
6	0	3213
6	1	1040
7	2	4202
8	0	1623
8	1	4450
9	2	1244
10	2	1571
11	2	4122
12	2	4012
13	0	1446
13	1	4450
14	2	4591
15	0	1623
15	1	4202
16	2	3995
17	2	691
18	2	1255
19	2	2257
20	2	3460
21	2	212
22	2	1771
23	2	708
24	2	91
25	2	2014
26	2	2623
27	2	608
28	2	1303
29	2	1794
30	0	1623
30	1	3031
31	2	3298
32	0	302
32	1	1074
33	2	626
34	0	1753
34	1	3995
35	2	4832
36	0	3213
36	1	3995
37	2	3826
38	0	3213
38	1	108
39	2	4679
40	2	581
41	2	2173
42	2	1754
43	0	1544
43	1	1040
44	2	4276
45	2	2485
46	0	1623
46	1	4012
47	2	1055
48	2	4856
49	0	1623
49	1	275
50	2	4810
51	0	863
51	1	108
52	0	884
52	1	4450
53	2	3491
54	2	3838
55	2	551
56	2	1491
57	0	1623
57	1	4043
58	2	2689
59	0	4955
59	1	4450
60	2	3910
61	0	1446
61	1	2039
62	0	1446
62	1	4012
63	0	3213
63	1	275
64	2	1480
65	2	534
66	2	2864
67	0	3448
67	1	1074
68	0	2133
68	1	1040
69	2	3702
70	2	1175
71	2	4260
72	2	3444
73	0	3213
73	1	1692
74	0	3213
74	1	4709
75	2	23
76	2	4478
77	2	641
78	0	3884
78	1	1040
79	0	4218
79	1	1040
80	2	2546
81	0	3213
81	1	825
82	0	4955
82	1	399
83	0	3428
83	1	1040
84	2	2685
85	0	3527
85	1	4450
86	0	2550
86	1	1244
87	0	3497
87	1	108
88	0	3213
88	1	708
89	2	2586
90	2	902
91	0	1623
91	1	2864
92	2	2267
93	2	358
94	0	4653
94	1	4709
95	2	743
96	0	1623
96	1	3539
97	0	884
97	1	461
98	0	4955
98	1	2039
99	0	4955
99	1	4709
100	0	4653
100	1	4202
101	2	1036
102	2	2451
103	0	929
103	1	4202
104	2	2829
105	2	2185
106	0	904
106	1	2071
107	2	760
108	2	3071
109	0	3213
109	1	3475
110	2	1898
111	2	2109
112	2	4914
113	0	1596
113	1	3031
114	2	57
115	0	3884
115	1	1771
116	0	2657
116	1	4907
117	0	884
117	1	4043
118	0	4955
118	1	4087
119	2	3776
120	2	2143
121	0	863
121	1	2510
122	0	1623
122	1	253
123	0	863
123	1	1771
124	2	1866
125	2	587
126	2	1905
127	0	2550
127	1	4087
128	2	612
129	0	3213
129	1	4087
130	2	333
131	2	2011
132	2	11
133	0	3213
133	1	2864
134	2	4075
135	0	2790
135	1	108
136	0	4644
136	1	1074
137	0	5153
137	1	4202
138	2	3164
139	0	863
139	1	2870
140	2	3396
141	0	1623
141	1	2071
142	0	1623
142	1	3860
143	0	3428
143	1	461
144	0	2550
144	1	3475
145	0	3527
145	1	1771
146	2	2621
147	2	2068
148	0	1753
148	1	108
149	0	879
149	1	4202
150	2	1008
151	0	3213
151	1	3175
152	0	1178
152	1	1558
153	0	4955
153	1	4043
154	0	1623
154	1	3054
155	0	3497
155	1	4202
156	2	3967
157	0	3213
157	1	4012
158	2	3376
159	2	4886
160	0	585
160	1	776
161	0	1753
161	1	399
162	0	1659
162	1	2159
163	0	1544
163	1	1074
164	0	1544
164	1	3031
165	0	2657
165	1	399
166	0	2550
166	1	399
167	2	3620
168	2	2417
169	2	1290
170	0	3604
170	1	1074
171	0	1753
171	1	708
172	2	1739
173	2	512
174	0	1596
174	1	399
175	0	4955
175	1	4755
176	0	863
176	1	4755
177	0	4218
177	1	399
178	0	1753
178	1	1692
179	2	1369
180	2	2435
181	0	1659
181	1	4450
182	0	1446
182	1	1891
183	0	3428
183	1	3054
184	2	1839
185	2	121
186	0	4955
186	1	253
187	0	4955
187	1	930
188	2	777
189	0	884
189	1	4012
190	2	4611
191	2	2158
192	0	1446
192	1	1244
193	2	4
194	0	3884
194	1	4043
195	0	1623
195	1	4543
196	2	3049
197	0	1544
197	1	4087
198	0	3754
198	1	503
199	2	910
200	0	1446
200	1	3995
201	2	871
202	2	1670
203	0	3428
203	1	2775
204	2	836
205	0	2790
205	1	1040
206	0	879
206	1	776
207	0	1623
207	1	4569
208	0	2701
208	1	4450
209	0	4218
209	1	4202
210	0	4955
210	1	1891
211	2	1064
212	2	3703
213	2	554
214	2	3042
215	0	1623
215	1	4038
216	0	4955
216	1	4810
